name_cn,name_en,card_number,domain_cn,domain_en,cost,type_cn,type_en,rarity_cn,rarity_en,description_cn,description_en,image_url_cn,image_url_en,match_score,confidence,temporary
"安妮, 汹涌烈焰","Annie, Fiery",OGS·001/024,red,Fury,5,英雄单位,Champion Unit,史诗,Epic,你的法术和技能造成的伤害+1（每段伤害都+1）。,Your spells and abilities deal 1 Bonus Damage. (Each instance of damage the spell deals is increased by 1.),https://cdn1.playloltcg.com/lol/card/20250731/fb17a832925e4a6ab6aa063bbe94d581.png,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/532d75dc36a16eb5954253a77366fcceac7aec62-744x1039.png?auto=format&fit=fill&q=80&w=437,90,high,NO
烈火风暴,Firestorm,OGS·002/024,red,Fury,6,法术,Spell,不凡,Uncommon,对一处战场的所有敌方单位各造成3点伤害。,Deal 3 to all enemy units at a battlefield.,https://cdn1.playloltcg.com/lol/card/20250731/a929826226134cc2b2f0ca258e9fca19.png,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/a7a34129e64f0296bf2da166c2b06ed156d568db-744x1039.png?auto=format&fit=fill&q=80&w=437,100,high,NO
焚烧,Incinerate,OGS·003/024,red,Fury,2,法术,Spell,普通,Common,"{{迅捷}}（可在你的回合或法术对决中打出。）
对战场上的一名单位造成2点伤害。",[Action]_ (Play on your turn or in showdowns.)_Deal 2 to a unit at a battlefield.,https://cdn1.playloltcg.com/lol/card/20250731/28ef5461b60d4a569b13a763e66076ed.png,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/46e4eaada1412f9b6c24751bdb3932c6a51e905f-744x1039.png?auto=format&fit=fill&q=80&w=437,100,high,NO
"易, 禅心大道","Yi, Meditative",OGS·004/024,green,Calm,5,英雄单位,Champion Unit,稀有,Rare,如果你拥有不少于八枚符文，则我获得{{S}}+4。,"While you have 8+ runes, I have +4 {icon:might}.",https://cdn1.playloltcg.com/lol/card/20250731/10d8a2ccf9ec4d1ca4fe561b1f186428.png,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/5508566c8f05f09492148faa803332a731095eb7-744x1039.png?auto=format&fit=fill&q=80&w=437,90,high,NO
和风贤者,Zephyr Sage,OGS·005/024,green,Calm,6,单位,Unit,不凡,Uncommon,{{坚守}}（如果我是防守方，则{{S}}+1。）,[Shield] (+1 {icon:might} while I'm a defender.),https://cdn1.playloltcg.com/lol/card/20250731/aff96d682f2743d08a96472d296d3e09.png,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/7664b03bb107954195153d9f2f86c5d63682fa4b-744x1039.png?auto=format&fit=fill&q=80&w=437,100,high,NO
"拉克丝, 明丽光华","Lux, Illuminated",OGS·006/024,blue,Mind,6,英雄单位,Champion Unit,稀有,Rare,每当你打出费用不低于{{5}}的法术时，让我本回合内{{S}}+3。,"When you play a spell that costs {icon:5} or more, give me +3 {icon:might} this turn.",https://cdn1.playloltcg.com/lol/card/20250731/7712adb1035c413faa35f28c5c38fbfb.png,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/a0d10edf30abb6fde21f5d386e9a7db3c1b0a098-744x1039.png?auto=format&fit=fill&q=80&w=437,90,high,NO
"盖伦, 身经百战","Garen, Rugged",OGS·007/024,orange,Body,6,英雄单位,Champion Unit,稀有,Rare,"{{强攻2}}（如果我是进攻方，则{{S}}+2。）
{{坚守2}}（如果我是防守方，则{{S}}+2。）","[Assault 2], [Shield 2] (+2 {icon:might} while I'm an attacker or defender.)",https://cdn1.playloltcg.com/lol/card/20250731/00b94e5e01294130a3755d5e4ebeaba4.png,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/67c22dc29a7a28dabe0f169a7848c25bef1fbda4-744x1039.png?auto=format&fit=fill&q=80&w=437,90,high,NO
绅士决斗,Gentlemen'S Duel,OGS·008/024,orange,Body,6,法术,Spell,普通,Common,"{{迅捷}}（可在你的回合或法术对决中打出。）
让一名友方单位本回合内{{S}}+3。随后，选择一名敌方单位，让这两名单位互相以自身战力给对方造成伤害。",[Action] (Play on your turn or in showdowns.)Give a friendly unit +3 {icon:might} this turn. Then choose an enemy unit. They deal damage equal to their Mights to each other.,https://cdn1.playloltcg.com/lol/card/20250731/8c29b2cce6be4548b09e867df9bbda43.png,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/4568ab827fdcd42d6bb86b1c2de6182e286c9ee9-744x1039.png?auto=format&fit=fill&q=80&w=437,100,high,NO
"易, 锋芒毕现","Yi, Honed",OGS·009/024,orange,Body,7,英雄单位,Champion Unit,史诗,Epic,"{{游走}}（我可以向其他战场进行移动。）
我以活跃状态进场。",[Ganking] (I can move from battlefield to battlefield.)I enter ready.,https://cdn1.playloltcg.com/lol/card/20250731/79cb337805da45aea83e84982e2802e1.png,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/0e16976cd6d7ee5a874be9351b428671990fbd25-744x1039.png?auto=format&fit=fill&q=80&w=437,90,high,NO
"安妮, 野火丛生","Annie, Stubborn",OGS·010/024,purple,Chaos,4,英雄单位,Champion Unit,稀有,Rare,当你打出我时，让一张法术牌从你的废牌堆返回你的手牌。,"When you play me, return a spell from your trash to your hand.",https://cdn1.playloltcg.com/lol/card/20250731/e826e37c3f2f4d25891717483eb08113.png,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/44eb968cf0c54e75970588b69eef5c5f5ccc9b24-744x1039.png?auto=format&fit=fill&q=80&w=437,90,high,NO
